Publication Year,,,Open Access Is Oa,,,Primary Topic Id,,,Authorships Institutions Lineage,,,Type,,
name,count,,name,count,,name,count,,name,count,,name,count,
,,,,,,Educational Robotics and Engineering,46,,Hospital de Clínicas da Unicamp,94,,,,
,,,,,,Machine Learning and Algorithms,44,,Universidade do Estado de Santa Catarina,92,,,,
,,,,,,Authorship Attribution and Profiling,43,,Institut des Sciences de l'Information et de leurs Interactions,92,,,,
,,,,,,Wireless Signal Modulation Classification,40,,Hospital Universitário da Universidade de São Paulo,89,,,,
,,,,,,Statistical and Computational Modeling,30,,Federal Center for Technological Education of Minas Gerais,85,,,,
,,,,,,Gaussian Processes and Bayesian Inference,24,,Universidade Federal do Estado do Rio de Janeiro,84,,,,
,,,,,,Stochastic Gradient Optimization Techniques,23,,Universidade Federal de Sergipe,83,,,,
,,,,,,Edcuational Technology Systems,15,,Serviço Geológico do Brasil - CPRM,83,,,,
,,,,,,Cognitive Computing and Networks,14,,Universidade Federal de Mato Grosso do Sul,82,,,,
,,,,,,Computer Science and Engineering,10,,Serviço Nacional de Aprendizagem Industrial,82,,,,
,,,,,,Artificial Intelligence Applications,10,,Federal Center for Technological Education Celso Suckow da Fonseca,81,,,,
,,,,,,Mathematical Control Systems and Analysis,9,,IBM (United States),79,,,,
,,,,,,Advanced Technologies in Various Fields,8,,Universidade Federal de Mato Grosso,76,,,,
,,,,,,Educational Technology and Pedagogy,7,,Instituto Federal do Espírito Santo,75,,,,
,,,,,,Intuitionistic Fuzzy Systems Applications,3,,Universidade Estadual do Ceará,73,,,,
,,,,,,"Psychiatry, Mental Health, Neuroscience",3,,Federal Institute of São Paulo,73,,,,
,,,,,,Experience-Based Knowledge Management,2,,Pontifícia Universidade Católica de Minas Gerais,73,,,,
,,,,,,AI and Multimedia in Education,1,,Institute for Systems Engineering and Computers,73,,,,
,,,,,,,,,"Instituto Federal de Educação, Ciência e Tecnologia do Ceará",72,,,,
,,,,,,,,,University of Coimbra,72,,,,
,,,,,,,,,IBM Research - Thomas J. Watson Research Center,68,,,,
,,,,,,,,,IBM Research - Brazil,65,,,,
,,,,,,,,,Universidade Presbiteriana Mackenzie,63,,,,
,,,,,,,,,Instituto de Geociencias,62,,,,
,,,,,,,,,Universidade do Estado do Amazonas,61,,,,
,,,,,,,,,Instituto Federal do Maranhão,61,,,,
,,,,,,,,,Faculdades Guarulhos,59,,,,
,,,,,,,,,Universidade de Fortaleza,58,,,,
,,,,,,,,,Instituto de Telecomunicações,58,,,,
,,,,,,,,,Johannes Kepler University of Linz,57,,,,
,,,,,,,,,Fundação Getulio Vargas,57,,,,
,,,,,,,,,Universidade Estadual de Londrina,56,,,,
,,,,,,,,,Universidade Estadual de Feira de Santana,56,,,,
,,,,,,,,,Polydoro Ernani de São Thiago University Hospital,56,,,,
,,,,,,,,,University of Rio Grande and Rio Grande Community College,56,,,,
,,,,,,,,,Centro de Estudos e Sistemas Avançados do Recife,54,,,,
,,,,,,,,,Universidade Estadual de Ponta Grossa,54,,,,
,,,,,,,,,Academy of Sciences of Moldova,53,,,,
,,,,,,,,,Military Institute of Engineering,53,,,,
,,,,,,,,,Institute of Mathematics and Computer Science,53,,,,
,,,,,,,,,Laboratório Nacional de Computação Científica,53,,,,
,,,,,,,,,University of Lisbon,52,,,,
,,,,,,,,,University of Minho,52,,,,
,,,,,,,,,Harvard University,50,,,,
,,,,,,,,,Universidade Federal Rural do Rio de Janeiro,49,,,,
,,,,,,,,,Universidade Estadual do Oeste do Paraná,47,,,,
,,,,,,,,,Instituto de Aeronáutica e Espaço,46,,,,
,,,,,,,,,Institut Polytechnique de Paris,46,,,,
,,,,,,,,,INESC TEC,46,,,,
,,,,,,,,,Université du Québec,46,,,,
,,,,,,,,,"Instituto Federal de Educação, Ciência e Tecnologia do Pará",44,,,,
,,,,,,,,,Universidade Federal de Itajubá,44,,,,
,,,,,,,,,Universidade de Ribeirão Preto,43,,,,
,,,,,,,,,University of Manchester,41,,,,
,,,,,,,,,University College London,41,,,,
,,,,,,,,,"Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina",41,,,,
,,,,,,,,,Sapienza University of Rome,41,,,,
,,,,,,,,,Université Paris-Saclay,40,,,,
,,,,,,,,,Fundação Oswaldo Cruz,40,,,,
,,,,,,,,,United States Department of Energy,39,,,,
,,,,,,,,,Centro Brasileiro de Pesquisas Físicas,39,,,,
,,,,,,,,,Université Grenoble Alpes,39,,,,
,,,,,,,,,University of Toronto,38,,,,
,,,,,,,,,Vale Technological Institute,38,,,,
,,,,,,,,,Conselho Nacional de Desenvolvimento Científico e Tecnológico,37,,,,
,,,,,,,,,United Food and Commercial Workers,37,,,,
,,,,,,,,,Instituto Federal de Educação Ciência e Tecnologia da Paraíba,37,,,,
,,,,,,,,,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",36,,,,
,,,,,,,,,Universidade Federal dos Vales do Jequitinhonha e Mucuri,36,,,,
,,,,,,,,,Hospital Ana Nery,36,,,,
,,,,,,,,,National Nuclear Energy Commission,36,,,,
,,,,,,,,,Stanford University,36,,,,
,,,,,,,,,"Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais",35,,,,
,,,,,,,,,Instituto Federal do Paraná,35,,,,
,,,,,,,,,Imperial College London,35,,,,
,,,,,,,,,Pontifícia Universidade Católica de São Paulo,35,,,,
,,,,,,,,,Polish Academy of Sciences,35,,,,
